title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Crypt Killer,PlayStation,4.0,1997,3,7,13902,Shooter,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.04
Carnage Heart,PlayStation,9.2,1997,3,5,10380,Strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01,0.11
Spot Goes to Hollywood,PlayStation,3.0,1996,11,26,11842,Platform,Virgin Interactive,0.04,0.03,0.0,0.0,0.07
Space Hulk: Vengeance of the Blood Angels,PlayStation,6.0,1996,11,26,12077,Shooter,Electronic Arts,0.04,0.03,0.0,0.0,0.07
Tekken,PlayStation,7.5,1996,11,26,416,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24
VR Soccer '96,PlayStation,7.7,1996,11,26,13282,Sports,Gremlin Interactive Ltd,0.03,0.02,0.0,0.0,0.05
World Cup Golf: Professional Edition,PlayStation,5.0,1996,11,26,9607,Sports,U.S. Gold,0.07,0.05,0.0,0.01,0.13
WipEout XL,PlayStation,9.0,1996,11,26,6657,Racing,Psygnosis,0.14,0.1,0.0,0.02,0.25
Xevious 3D/G+,PlayStation,8.0,1997,6,11,9099,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14
Thunder Truck Rally,PlayStation,7.0,1997,6,3,9033,Racing,Psygnosis,0.08,0.05,0.0,0.01,0.14
Broken Helix,PlayStation,6.0,1997,5,29,12656,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.0,0.06
War Gods,PlayStation,4.0,1997,5,23,14905,Fighting,GT Interactive,0.01,0.01,0.0,0.0,0.03
Descent Maximum,PlayStation,7.5,1997,5,23,10751,Shooter,Interplay Productions,0.05,0.04,0.0,0.01,0.1
Wing Commander IV: The Price of Freedom,PlayStation,4.0,1997,5,21,11248,Simulation,Origin Systems,0.05,0.03,0.0,0.01,0.09
Wild ARMs,PlayStation,8.0,1997,5,20,2183,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
Rage Racer,PlayStation,7.0,1997,5,19,1734,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17
Grand Slam,PlayStation,6.0,1997,5,13,13514,Misc,Virgin Interactive,0.02,0.02,0.0,0.0,0.04
Tail of the Sun,PlayStation,7.0,1997,5,9,15651,Role-Playing,ArtDink,0.01,0.01,0.0,0.0,0.02
Goal Storm '97,PlayStation,6.0,1997,5,6,10340,Sports,Konami Digital Entertainment,0.01,0.0,0.09,0.01,0.11
Psychic Force,PlayStation,5.0,1997,4,29,8664,Fighting,Acclaim Entertainment,0.01,0.01,0.13,0.01,0.16
The Lost World: Jurassic Park,PlayStation,5.0,1997,8,26,2037,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02
NFL GameDay 98,PlayStation,8.8,1997,8,26,1076,Sports,Sony Computer Entertainment,1.58,0.06,0.0,0.04,1.68
Ace Combat 2,PlayStation,9.0,1997,8,22,2341,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89
Porsche Challenge,PlayStation,8.0,1997,8,5,11060,Racing,Sony Computer Entertainment,0.05,0.03,0.0,0.01,0.09
Lethal Enforcers I & II,PlayStation,4.0,1997,8,5,14478,Shooter,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03
VMX Racing,PlayStation,5.0,1997,7,25,6112,Racing,Playmates,0.16,0.11,0.0,0.02,0.28
Jet Moto 2,PlayStation,7.0,1997,11,12,884,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94
Cool Boarders 2,PlayStation,7.2,1997,11,11,717,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25
Time Crisis,PlayStation,8.0,1997,11,11,1079,Shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68
Maximum Force,PlayStation,5.0,1997,9,25,10178,Shooter,GT Interactive,0.06,0.04,0.0,0.01,0.11
Treasures of the Deep,PlayStation,8.0,1997,9,24,7995,Action,Namco Bandai Games,0.1,0.07,0.0,0.01,0.19
Discworld II: Mortality Bytes!,PlayStation,6.0,1997,9,24,15763,Adventure,Psygnosis,0.01,0.01,0.0,0.0,0.02
Nuclear Strike,PlayStation,7.6,1997,9,24,1688,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19
NASCAR 98,PlayStation,8.0,1997,9,23,1234,Racing,Electronic Arts,1.43,0.05,0.0,0.04,1.52
Herc's Adventures,PlayStation,6.0,1997,7,18,13829,Action,Virgin Interactive,0.02,0.01,0.0,0.0,0.04
Syndicate Wars,PlayStation,5.0,1997,7,16,13826,Strategy,Electronic Arts,0.02,0.01,0.0,0.0,0.04
Darklight Conflict,PlayStation,7.0,1997,6,30,13914,Simulation,Electronic Arts,0.02,0.01,0.0,0.0,0.04
Dynasty Warriors,PlayStation,7.8,1997,6,27,6277,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27
San Francisco Rush: Extreme Racing,PlayStation,5.0,1998,4,2,4986,Racing,GT Interactive,0.21,0.15,0.0,0.03,0.38
Judge Dredd,PlayStation,2.0,1998,4,1,12939,Platform,Gremlin Interactive Ltd,0.03,0.02,0.0,0.0,0.05
Mass Destruction,PlayStation,7.0,1997,11,5,10084,Shooter,BMG Interactive Entertainment,0.06,0.04,0.0,0.01,0.11
