title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Turok,PC,7.0,2008,4,24,15983,Action,Touchstone,0.0,0.01,0.0,0.0,0.01
Command & Conquer 3: Kane's Wrath,PC,7.9,2008,3,25,15604,Strategy,Electronic Arts,0.0,0.01,0.0,0.0,0.02
Mass Effect,PC,9.2,2008,5,27,3003,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.09,0.68
Kung Fu Panda,PC,7.4,2008,6,9,15035,Action,Activision,0.0,0.02,0.0,0.0,0.02
LEGO Indiana Jones: The Original Adventures,PC,8.0,2008,5,29,13597,Action,LucasArts,0.02,0.02,0.0,0.01,0.04
Stronghold Crusader Extreme,PC,4.8,2008,6,10,15029,Strategy,Gamecock,0.0,0.02,0.0,0.0,0.02
Alone in the Dark,PC,3.5,2008,7,8,16396,Adventure,Atari,0.0,0.01,0.0,0.0,0.01
Devil May Cry 4,PC,8.0,2008,7,23,13640,Action,Capcom,0.01,0.02,0.0,0.01,0.04
Legend: Hand of God,PC,6.0,2008,8,25,15222,Role-Playing,DTP Entertainment,0.0,0.02,0.0,0.0,0.02
Spore,PC,8.8,2008,9,4,1719,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17
The Sims 2: Apartment Life,PC,7.7,2008,9,8,11084,Simulation,Electronic Arts,0.0,0.07,0.0,0.02,0.09
FlatOut: Ultimate Carnage,PC,7.8,2008,9,12,16248,Racing,Empire Interactive,0.0,0.01,0.0,0.0,0.01
S.T.A.L.K.E.R.: Clear Sky,PC,7.3,2008,9,5,14023,Shooter,Deep Silver,0.0,0.03,0.0,0.01,0.04
Peggle Nights,PC,8.4,2008,9,25,15592,Puzzle,PopCap Games,0.0,0.01,0.0,0.0,0.02
