title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Shining Force: Resurrection of the Dark Dragon,Game Boy Advance,7.8,2004,6,14,11345,Role-Playing,THQ,0.06,0.02,0.0,0.0,0.08,77,20,8.8,15
Mario Golf: Advance Tour,Game Boy Advance,9.5,2004,6,11,4406,Sports,Nintendo,0.32,0.12,0.0,0.01,0.45,84,38,8.6,14
Spider-Man 2,Game Boy Advance,6.5,2004,7,19,1961,Action,Activision,0.76,0.28,0.0,0.02,1.06,80,50,8.9,106
Madden NFL 2005,Game Boy Advance,8.0,2004,8,17,4931,Sports,Electronic Arts,0.28,0.1,0.0,0.01,0.39,91,30,7.9,78
Astro Boy: Omega Factor,Game Boy Advance,8.8,2004,8,16,11032,Action,THQ,0.06,0.02,0.0,0.0,0.09,85,37,8.6,18
Yu-Gi-Oh! Reshef of Destruction,Game Boy Advance,5.5,2004,8,11,3606,Strategy,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,,,,
CT Special Forces 2: Back in the Trenches,Game Boy Advance,7.0,2004,8,1,16284,Shooter,LSP Games,0.01,0.0,0.0,0.0,0.01,76,11,tbd,
Thunderbirds,Game Boy Advance,5.0,2004,8,10,15042,Shooter,Vivendi Games,0.02,0.01,0.0,0.0,0.02,47,11,tbd,
Dragon Ball Z: Supersonic Warriors,Game Boy Advance,7.5,2004,6,22,3937,Fighting,Atari,0.36,0.13,0.0,0.01,0.51,73,26,7,21
Hamtaro: Ham-Ham Games,Game Boy Advance,8.0,2004,7,26,7176,Sports,Nintendo,0.16,0.06,0.0,0.0,0.22,77,20,7.8,6
Around the World in 80 Days,Game Boy Advance,3.5,2004,7,8,13194,Action,Hip Interactive,0.03,0.01,0.0,0.0,0.05,40,9,tbd,
Thunder Alley,Game Boy Advance,2.0,2004,6,21,16222,Racing,XS Games,0.01,0.0,0.0,0.0,0.01,23,4,tbd,
Duel Masters: Sempai Legends,Game Boy Advance,8.0,2004,8,27,6036,Misc,Atari,0.21,0.08,0.0,0.01,0.29,69,19,8,5
Sitting Ducks,Game Boy Advance,3.0,2004,8,4,14375,Platform,LSP Games,0.02,0.01,0.0,0.0,0.03,,,,
Catwoman,Game Boy Advance,6.5,2004,8,3,13699,Action,Electronic Arts,0.03,0.01,0.0,0.0,0.04,46,35,6.9,13
Advance Guardian Heroes,Game Boy Advance,6.0,2004,9,14,13549,Role-Playing,Ubisoft,0.03,0.01,0.0,0.0,0.04,65,25,tbd,
Digimon Racing,Game Boy Advance,7.0,2004,9,7,9506,Racing,Namco Bandai Games,0.09,0.03,0.0,0.0,0.13,62,10,tbd,
Mario Pinball Land,Game Boy Advance,5.0,2004,10,4,2956,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,62,35,4.9,11
Star Wars Trilogy: Apprentice of the Force,Game Boy Advance,6.5,2004,9,22,4611,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42,60,21,tbd,
Dragon Ball Z: Buu's Fury,Game Boy Advance,6.5,2004,9,21,3323,Action,Atari,0.44,0.16,0.0,0.01,0.61,62,19,8.9,39
F-Zero: GP Legend,Game Boy Advance,8.0,2004,9,20,8643,Racing,Nintendo,0.11,0.04,0.0,0.0,0.16,77,31,8.5,18
Nicktoons: Freeze Frame Frenzy,Game Boy Advance,5.0,2004,11,3,4850,Action,THQ,0.29,0.11,0.0,0.01,0.4,53,4,tbd,
Tak 2: The Staff of Dreams,Game Boy Advance,5.5,2004,11,3,4248,Platform,THQ,0.33,0.12,0.0,0.01,0.46,71,31,8,10
The Lord of the Rings: The Third Age,Game Boy Advance,6.0,2004,11,2,7219,Role-Playing,Electronic Arts,0.16,0.06,0.0,0.0,0.22,73,35,8.2,60
Donkey Kong Country 2,Game Boy Advance,8.0,2004,11,15,1626,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,80,22,9.1,37
The Urbz: Sims in the City,Game Boy Advance,8.0,2004,11,15,3260,Simulation,Electronic Arts,0.37,0.22,0.0,0.03,0.62,70,25,8.2,24
Yu-Gi-Oh! Destiny Board Traveler,Game Boy Advance,3.5,2004,11,11,4358,Misc,Konami Digital Entertainment,0.32,0.12,0.0,0.01,0.45,,,,
Grand Theft Auto,Game Boy Advance,8.5,2004,10,26,6907,Action,Take-Two Interactive,0.17,0.06,0.0,0.0,0.24,68,33,7.1,23
WWE Survivor Series,Game Boy Advance,6.0,2004,10,25,9417,Fighting,THQ,0.09,0.04,0.0,0.0,0.13,55,12,8.2,5
Tony Hawk's Underground 2,Game Boy Advance,6.5,2004,10,21,4025,Sports,Activision,0.35,0.13,0.0,0.01,0.49,83,59,8.8,55
Boktai 2: Solar Boy Django,Game Boy Advance,8.0,2004,11,1,13495,Role-Playing,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04,78,20,8.5,11
Asphalt: Urban GT,Nintendo DS,5.5,2004,11,19,3380,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.6,60,38,7.5,13
Tron 2.0: Killer App,Game Boy Advance,7.8,2004,10,28,12371,Action,Disney Interactive Studios,0.04,0.02,0.0,0.0,0.06,68,16,tbd,
Mega Man Zero 3,Game Boy Advance,8.0,2004,10,27,7200,Platform,Capcom,0.16,0.06,0.0,0.0,0.22,77,21,9,22
Spider-Man 2,Nintendo DS,7.5,2004,11,18,3986,Action,Activision,0.41,0.02,0.03,0.04,0.5,80,50,8.9,106
Final Fantasy I & II: Dawn of Souls,Game Boy Advance,8.5,2004,11,30,1702,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,,,,
Madden NFL 2005,Nintendo DS,7.0,2004,11,23,6509,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.26,91,30,7.9,78
Duel Masters: Kaijudo Showdown,Game Boy Advance,7.5,2004,12,2,7216,Misc,Atari,0.16,0.06,0.0,0.0,0.22,66,10,tbd,
Ridge Racer DS,Nintendo DS,7.5,2004,12,1,8907,Racing,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,63,35,6.7,7
Final Fantasy I & II: Dawn of Souls,Game Boy Advance,8.5,2004,11,30,1702,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,,,,
Ping Pals,Nintendo DS,3.5,2004,12,14,10073,Misc,THQ,0.1,0.0,0.0,0.01,0.11,28,17,3.9,26
Kingdom Hearts: Chain of Memories,Game Boy Advance,8.0,2004,12,13,939,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,76,37,7.9,84
Metal Slug Advance,Game Boy Advance,8.4,2004,12,9,11352,Shooter,Ignition Entertainment,0.06,0.02,0.0,0.0,0.08,79,32,8.3,14
Need for Speed Underground 2,Game Boy Advance,8.0,2004,12,9,4500,Racing,Electronic Arts,0.31,0.12,0.0,0.01,0.43,82,39,8.6,132
The Legend of Zelda: The Minish Cap,Game Boy Advance,9.0,2005,1,10,1359,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,89,56,9,203
Zoo Keeper,Nintendo DS,7.0,2005,1,21,8414,Puzzle,Ignition Entertainment,0.1,0.01,0.05,0.01,0.17,74,40,7.5,13
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,Game Boy Advance,7.5,2005,2,17,4604,Misc,Konami Digital Entertainment,0.3,0.11,0.0,0.01,0.42,,,,
Hot Wheels: Stunt Track Challenge,Game Boy Advance,5.5,2005,2,14,4378,Racing,THQ,0.32,0.12,0.0,0.01,0.45,62,8,8.1,8
Racing Gears Advance,Game Boy Advance,8.9,2005,2,10,12644,Racing,Zoo Digital Publishing,0.04,0.02,0.0,0.0,0.06,83,17,8.9,9
Klonoa 2: Dream Champ Tournament,Game Boy Advance,8.0,2005,2,23,14479,Platform,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,78,20,9.3,6
Retro Atari Classics,Nintendo DS,5.0,2005,3,16,9357,Misc,Atari,0.12,0.0,0.0,0.01,0.13,51,17,3.7,7
Yoshi Touch & Go,Nintendo DS,8.8,2005,3,11,4924,Platform,Nintendo,0.34,0.02,0.0,0.03,0.39,,,,
Robots,Nintendo DS,4.5,2005,3,2,9175,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.14,53,6,6,8
Rayman DS,Nintendo DS,6.0,2005,3,22,6450,Platform,Ubisoft,0.21,0.04,0.0,0.02,0.26,58,20,7.6,19
Mario Party Advance,Game Boy Advance,6.0,2005,3,25,2111,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98,54,27,5.4,34
Polarium,Nintendo DS,7.8,2005,4,15,6553,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26,73,34,8.4,17
Mr. Driller 2,Game Boy Advance,6.0,2005,4,12,8646,Puzzle,Namco Bandai Games,0.0,0.0,0.15,0.0,0.16,62,16,tbd,
LEGO Star Wars: The Video Game,Game Boy Advance,8.0,2005,4,5,1798,Action,Eidos Interactive,0.82,0.3,0.0,0.02,1.14,,,,
Rayman: Hoodlum's Revenge,Game Boy Advance,6.5,2005,4,29,12316,Platform,Ubisoft,0.05,0.02,0.0,0.0,0.06,61,12,tbd,
