title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Metal Gear Rising: Revengeance,Xbox 360,8.5,2013,2,18,3994,Action,Konami Digital Entertainment,0.29,0.16,0.0,0.04,0.5,80,61,7.9,746
BioShock Infinite,Xbox 360,9.4,2013,3,21,867,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96,93,33,8.5,1647
The Walking Dead: Survival Instinct,Xbox 360,4.5,2013,3,21,3179,Shooter,Activision,0.46,0.12,0.0,0.05,0.64,32,30,4,410
Aliens: Colonial Marines,Xbox 360,4.5,2013,2,12,2574,Shooter,Sega,0.36,0.37,0.0,0.07,0.8,48,47,3.8,449
Naruto Shippuden: Ultimate Ninja Storm 3,Xbox 360,8.6,2013,3,20,3881,Fighting,Namco Bandai Games,0.29,0.17,0.01,0.04,0.51,77,32,7.9,187
Injustice: Gods Among Us,Xbox 360,8.2,2013,4,16,1372,Fighting,Warner Bros. Interactive Entertainment,0.97,0.34,0.0,0.11,1.41,81,63,7.9,362
Gears of War: Judgment,Xbox 360,9.2,2013,3,17,1143,Shooter,Microsoft Game Studios,0.92,0.53,0.03,0.13,1.61,79,81,5.4,779
Terraria,Xbox 360,9.0,2013,4,4,2843,Action,505 Games,0.35,0.31,0.0,0.06,0.72,81,39,7.2,139
Tiger Woods PGA Tour 14,Xbox 360,8.0,2013,4,3,5185,Sports,Electronic Arts,0.21,0.13,0.0,0.03,0.36,74,28,3.8,26
Army of Two: The Devil's Cartel,Xbox 360,5.0,2013,3,29,6563,Shooter,Electronic Arts,0.16,0.07,0.0,0.02,0.26,58,27,6.7,100
Fast & Furious: Showdown,Xbox 360,2.5,2013,5,24,13356,Action,Activision,0.0,0.04,0.0,0.0,0.05,,,,
Star Trek: The Game,Xbox 360,4.2,2013,4,26,7147,Action,Namco Bandai Games,0.12,0.09,0.0,0.02,0.22,,,,
Metro: Last Light,Xbox 360,7.2,2013,5,13,5184,Action,Deep Silver,0.17,0.16,0.0,0.03,0.36,80,23,8.2,508
Defiance,Xbox 360,5.5,2013,4,17,3531,Shooter,Trion Worlds,0.38,0.15,0.0,0.04,0.57,60,27,7.2,249
Deadpool,Xbox 360,6.0,2013,6,25,4265,Action,Activision,0.26,0.16,0.0,0.04,0.46,61,27,7.2,221
NCAA Football 14,Xbox 360,7.4,2013,7,5,1919,Sports,Electronic Arts,1.01,0.0,0.0,0.06,1.07,77,18,5.8,74
Disney Infinity,Xbox 360,8.7,2013,8,18,1348,Action,Disney Interactive Studios,0.96,0.37,0.0,0.11,1.43,,,4.2,24
Dynasty Warriors 8,Xbox 360,8.7,2013,7,18,8629,Action,Tecmo Koei,0.09,0.05,0.0,0.01,0.16,68,26,8.5,75
Remember Me,Xbox 360,5.9,2013,6,2,8050,Action,Capcom,0.1,0.07,0.0,0.02,0.18,72,37,7.4,424
Grand Theft Auto V,Xbox 360,10.0,2013,9,16,24,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,97,50,8.2,3994
Killer is Dead,Xbox 360,5.0,2013,8,27,9803,Action,Deep Silver,0.08,0.02,0.01,0.01,0.12,64,39,7.9,215
Lost Planet 3,Xbox 360,6.2,2013,8,27,9780,Shooter,Capcom,0.07,0.04,0.01,0.01,0.12,61,30,5.5,102
Tom Clancy's Splinter Cell: Blacklist,Xbox 360,9.2,2013,8,14,2089,Action,Ubisoft,0.57,0.34,0.01,0.08,0.99,82,58,7.5,383
Saints Row IV,Xbox 360,7.3,2013,8,14,1062,Action,Deep Silver,1.01,0.53,0.01,0.14,1.69,81,42,6.5,325
Rayman Legends,Xbox 360,9.5,2013,8,26,4297,Platform,Ubisoft,0.19,0.23,0.0,0.04,0.46,92,35,8.7,465
Rayman Legends,Xbox One,9.5,2013,8,26,5411,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34,90,16,8.5,525
Diablo III,Xbox 360,9.0,2013,9,10,1318,Role-Playing,Activision,0.89,0.44,0.0,0.12,1.45,86,43,6.4,557
NHL 14,Xbox 360,8.3,2013,9,6,3729,Sports,Electronic Arts,0.4,0.1,0.0,0.04,0.54,80,22,6,79
Madden NFL 25,Xbox 360,8.5,2013,8,23,751,Sports,Electronic Arts,1.97,0.07,0.0,0.13,2.18,80,32,5.6,136
The Bureau: XCOM Declassified,Xbox 360,5.5,2013,8,20,6945,Shooter,Take-Two Interactive,0.1,0.12,0.0,0.02,0.24,69,22,6.7,79
F1 2013,Xbox 360,8.0,2013,10,4,5525,Racing,Codemasters,0.01,0.28,0.0,0.03,0.33,77,22,6.3,40
NBA 2K14,Xbox 360,9.3,2013,9,26,626,Sports,Take-Two Interactive,2.1,0.2,0.0,0.17,2.47,87,23,4.9,150
Pro Evolution Soccer 2014,Xbox 360,8.4,2013,9,18,6751,Action,Konami Digital Entertainment,0.06,0.16,0.0,0.03,0.25,78,39,4.1,303
LEGO Marvel Super Heroes,Xbox One,9.0,2013,10,22,2009,Action,Warner Bros. Interactive Entertainment,0.61,0.34,0.0,0.09,1.04,80,37,7.6,127
LEGO Marvel Super Heroes,Xbox 360,9.0,2013,10,22,692,Action,Warner Bros. Interactive Entertainment,1.24,0.85,0.0,0.21,2.3,80,37,7.6,127
Dead Rising 3,Xbox One,8.3,2013,11,18,1210,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54,78,69,6.8,908
Call of Duty: Ghosts,Xbox One,8.8,2013,11,5,506,Shooter,Activision,1.87,0.77,0.0,0.22,2.86,73,29,2.6,2117
Call of Duty: Ghosts,Xbox 360,8.8,2013,11,5,62,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,73,29,2.6,2117
Madden NFL 25,Xbox One,7.6,2013,11,15,2665,Sports,Electronic Arts,0.67,0.05,0.0,0.05,0.77,80,32,5.6,136
Assassin's Creed IV: Black Flag,Xbox One,8.5,2013,10,29,733,Action,Ubisoft,1.47,0.55,0.0,0.19,2.21,88,36,8.1,840
Battlefield 4,Xbox One,8.5,2013,11,26,858,Shooter,Electronic Arts,1.25,0.58,0.0,0.16,1.98,85,18,6.9,1580
Fighter Within,Xbox One,2.7,2013,11,22,7875,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19,23,39,3,211
NBA 2K14,Xbox One,8.9,2013,11,12,2379,Sports,Take-Two Interactive,0.7,0.11,0.0,0.06,0.87,87,23,4.9,150
Just Dance 2014,Xbox 360,7.5,2013,10,11,2110,Misc,Ubisoft,0.72,0.19,0.0,0.07,0.98,,,6.2,10
Assassin's Creed IV: Black Flag,Xbox 360,8.5,2013,10,29,402,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34,88,36,8.1,840
Battlefield 4,Xbox 360,8.0,2013,10,29,366,Shooter,Electronic Arts,2.14,1.08,0.02,0.29,3.53,85,18,6.9,1580
Ryse: Son of Rome,Xbox One,6.8,2013,11,21,1433,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36,60,77,6.1,1409
Need for Speed Rivals,Xbox One,8.0,2013,11,20,3012,Racing,Electronic Arts,0.45,0.17,0.0,0.05,0.67,80,53,6.2,667
Forza Motorsport 5,Xbox One,8.8,2013,11,20,750,Racing,Microsoft Game Studios,1.21,0.78,0.01,0.17,2.18,79,76,5.9,1095
NBA Live 14,Xbox One,4.3,2013,11,19,7822,Sports,Electronic Arts,0.16,0.02,0.0,0.01,0.19,43,25,2.7,175
WWE 2K14,Xbox 360,8.7,2013,10,28,1813,Sports,Take-Two Interactive,0.64,0.39,0.0,0.1,1.13,74,22,7.5,121
Batman: Arkham Origins,Xbox 360,7.8,2013,10,25,887,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0.0,0.17,1.93,76,46,7.7,668
Rocksmith 2014,Xbox 360,9.0,2013,10,22,2201,Misc,Ubisoft,0.69,0.17,0.0,0.08,0.94,,,,
FIFA 14,Xbox One,9.1,2013,12,2,1700,Sports,Electronic Arts,0.41,0.66,0.0,0.12,1.19,86,37,4.3,576
